Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareXmlFilesAsync",1000,102506,102.51,13.00,7,3162
"Compare_Objects",1000,41264,41.26,1.00,0,651
"Apply_Config_Settings",1000,12807,12.81,4.00,1,2199
"Parallel_Comparison",1,3518,3518.00,3518.00,3518,3518
"Compare_File_28",1,3169,3169.00,3169.00,3169,3169
"Compare_File_31",1,3136,3136.00,3136.00,3136,3136
"Compare_File_29",1,3136,3136.00,3136.00,3136,3136
"Compare_File_30",1,3131,3131.00,3131.00,3131,3131
"Compare_File_34",1,3130,3130.00,3130.00,3130,3130
"Compare_File_35",1,3123,3123.00,3123.00,3123,3123
"Compare_File_33",1,3122,3122.00,3122.00,3122,3122
"Compare_File_45",1,3081,3081.00,3081.00,3081,3081
"Compare_File_312",1,2205,2205.00,2205.00,2205,2205
"Pattern_Analysis",1,1127,1127.00,1127.00,1127,1127
"Compare_File_488",1,1093,1093.00,1093.00,1093,1093
"Compare_File_493",1,1074,1074.00,1074.00,1074,1074
"Compare_File_262",1,980,980.00,980.00,980,980
"Compare_File_27",1,965,965.00,965.00,965,965
"Compare_File_268",1,957,957.00,957.00,957,957
"Compare_File_26",1,957,957.00,957.00,957,957
"Compare_File_489",1,913,913.00,913.00,913,913
"Compare_File_725",1,888,888.00,888.00,888,888
"Compare_File_297",1,869,869.00,869.00,869,869
"Compare_File_295",1,866,866.00,866.00,866,866
"Compare_File_294",1,865,865.00,865.00,865,865
"Compare_File_296",1,864,864.00,864.00,864,864
"Compare_File_313",1,858,858.00,858.00,858,858
"Compare_File_576",1,838,838.00,838.00,838,838
"Compare_File_575",1,837,837.00,837.00,837,837
"Compare_File_573",1,832,832.00,832.00,832,832
"Compare_File_572",1,826,826.00,826.00,826,826
"Compare_File_574",1,824,824.00,824.00,824,824
"Compare_File_767",1,745,745.00,745.00,745,745
"Compare_File_565",1,718,718.00,718.00,718,718
"Compare_File_72",1,717,717.00,717.00,717,717
"Compare_File_69",1,711,711.00,711.00,711,711
"Compare_File_67",1,711,711.00,711.00,711,711
"Compare_File_70",1,711,711.00,711.00,711,711
"Compare_File_71",1,710,710.00,710.00,710,710
"Compare_File_68",1,710,710.00,710.00,710,710
"Compare_File_552",1,710,710.00,710.00,710,710
"Compare_File_292",1,707,707.00,707.00,707,707
"Compare_File_74",1,705,705.00,705.00,705,705
"Compare_File_73",1,703,703.00,703.00,703,703
"Compare_File_61",1,689,689.00,689.00,689,689
"Compare_File_276",1,684,684.00,684.00,684,684
"Compare_File_566",1,679,679.00,679.00,679,679
"Compare_File_64",1,678,678.00,678.00,678,678
"Compare_File_56",1,676,676.00,676.00,676,676
"Compare_File_60",1,674,674.00,674.00,674,674
"Compare_File_275",1,670,670.00,670.00,670,670
"Compare_File_789",1,667,667.00,667.00,667,667
"Compare_File_571",1,667,667.00,667.00,667,667
"Compare_File_788",1,664,664.00,664.00,664,664
"Compare_File_66",1,660,660.00,660.00,660,660
"Compare_File_570",1,660,660.00,660.00,660,660
"Compare_File_569",1,658,658.00,658.00,658,658
"Compare_File_65",1,656,656.00,656.00,656,656
"Compare_File_286",1,654,654.00,654.00,654,654
"Compare_File_568",1,653,653.00,653.00,653,653
"Compare_File_567",1,652,652.00,652.00,652,652
"Compare_File_288",1,651,651.00,651.00,651,651
"Compare_File_291",1,651,651.00,651.00,651,651
"Compare_File_63",1,649,649.00,649.00,649,649
"Compare_File_62",1,648,648.00,648.00,648,648
"Compare_File_290",1,647,647.00,647.00,647,647
"Compare_File_287",1,638,638.00,638.00,638,638
"Compare_File_289",1,634,634.00,634.00,634,634
"Compare_File_293",1,615,615.00,615.00,615,615
"Compare_File_827",1,558,558.00,558.00,558,558
"Compare_File_825",1,551,551.00,551.00,551,551
"Compare_File_828",1,545,545.00,545.00,545,545
"Compare_File_833",1,545,545.00,545.00,545,545
"Compare_File_832",1,543,543.00,543.00,543,543
"Compare_File_834",1,539,539.00,539.00,539,539
"Compare_File_830",1,538,538.00,538.00,538,538
"Compare_File_829",1,538,538.00,538.00,538,538
"Compare_File_831",1,533,533.00,533.00,533,533
"Compare_File_836",1,531,531.00,531.00,531,531
"Compare_File_835",1,528,528.00,528.00,528,528
"Compare_File_837",1,518,518.00,518.00,518,518
"Compare_File_753",1,516,516.00,516.00,516,516
"Compare_File_838",1,512,512.00,512.00,512,512
"Compare_File_25",1,486,486.00,486.00,486,486
"Compare_File_587",1,443,443.00,443.00,443,443
"Compare_File_476",1,402,402.00,402.00,402,402
"Compare_File_13",1,357,357.00,357.00,357,357
"Compare_File_486",1,353,353.00,353.00,353,353
"Compare_File_12",1,351,351.00,351.00,351,351
"Compare_File_14",1,344,344.00,344.00,344,344
"Compare_File_10",1,342,342.00,342.00,342,342
"Compare_File_9",1,341,341.00,341.00,341,341
"Compare_File_15",1,341,341.00,341.00,341,341
"Compare_File_154",1,314,314.00,314.00,314,314
"Compare_File_7",1,311,311.00,311.00,311,311
"Compare_File_6",1,310,310.00,310.00,310,310
"Deserialize_Old_SoapEnvelope",1000,308,0.31,0.00,0,26
"Compare_File_483",1,301,301.00,301.00,301,301
"Compare_File_485",1,299,299.00,299.00,299,299
"Compare_File_487",1,292,292.00,292.00,292,292
"Compare_File_16",1,284,284.00,284.00,284,284
"Compare_File_11",1,283,283.00,283.00,283,283
"Compare_File_659",1,279,279.00,279.00,279,279
"Compare_File_494",1,271,271.00,271.00,271,271
"Compare_File_490",1,267,267.00,267.00,267,267
"Compare_File_764",1,267,267.00,267.00,267,267
"Compare_File_17",1,264,264.00,264.00,264,264
"Compare_File_23",1,262,262.00,262.00,262,262
"Compare_File_19",1,262,262.00,262.00,262,262
"Compare_File_24",1,259,259.00,259.00,259,259
"Compare_File_20",1,257,257.00,257.00,257,257
"Compare_File_760",1,257,257.00,257.00,257,257
"Compare_File_21",1,255,255.00,255.00,255,255
"Compare_File_5",1,254,254.00,254.00,254,254
"Compare_File_22",1,250,250.00,250.00,250,250
"Compare_File_18",1,249,249.00,249.00,249,249
"Compare_File_766",1,237,237.00,237.00,237,237
"Compare_File_768",1,234,234.00,234.00,234,234
"Compare_File_4",1,234,234.00,234.00,234,234
"Compare_File_3",1,233,233.00,233.00,233,233
"Compare_File_0",1,232,232.00,232.00,232,232
"Compare_File_1",1,232,232.00,232.00,232,232
"Compare_File_8",1,232,232.00,232.00,232,232
"Compare_File_2",1,232,232.00,232.00,232,232
"Compare_File_372",1,216,216.00,216.00,216,216
"Compare_File_770",1,206,206.00,206.00,206,206
"Compare_File_950",1,189,189.00,189.00,189,189
"Compare_File_255",1,170,170.00,170.00,170,170
"Compare_File_324",1,145,145.00,145.00,145,145
"Compare_File_263",1,134,134.00,134.00,134,134
"Compare_File_264",1,122,122.00,122.00,122,122
"Compare_File_260",1,118,118.00,118.00,118,118
"Compare_File_261",1,117,117.00,117.00,117,117
"Compare_File_779",1,114,114.00,114.00,114,114
"Compare_File_622",1,110,110.00,110.00,110,110
"Compare_File_520",1,109,109.00,109.00,109,109
"Compare_File_266",1,107,107.00,107.00,107,107
"Compare_File_442",1,102,102.00,102.00,102,102
"Compare_File_919",1,102,102.00,102.00,102,102
"Compare_File_810",1,96,96.00,96.00,96,96
"Compare_File_599",1,91,91.00,91.00,91,91
"Compare_File_792",1,74,74.00,74.00,74,74
"Clone_Old_SoapEnvelope",1000,60,0.06,0.00,0,6
"Compare_File_408",1,57,57.00,57.00,57,57
"Compare_File_153",1,55,55.00,55.00,55,55
"Compare_File_617",1,55,55.00,55.00,55,55
"Compare_File_244",1,55,55.00,55.00,55,55
"Compare_File_594",1,55,55.00,55.00,55,55
"Compare_File_595",1,54,54.00,54.00,54,54
"Compare_File_437",1,53,53.00,53.00,53,53
"Compare_File_105",1,53,53.00,53.00,53,53
"Compare_File_721",1,52,52.00,52.00,52,52
"Compare_File_500",1,50,50.00,50.00,50,50
"Compare_File_634",1,50,50.00,50.00,50,50
"Compare_File_306",1,49,49.00,49.00,49,49
"Compare_File_771",1,48,48.00,48.00,48,48
"Compare_File_872",1,47,47.00,47.00,47,47
"Compare_File_996",1,46,46.00,46.00,46,46
"Compare_File_344",1,45,45.00,45.00,45,45
"Compare_File_778",1,45,45.00,45.00,45,45
"Compare_File_231",1,44,44.00,44.00,44,44
"Compare_File_924",1,44,44.00,44.00,44,44
"Compare_File_681",1,43,43.00,43.00,43,43
"Compare_File_382",1,42,42.00,42.00,42,42
"Compare_File_899",1,42,42.00,42.00,42,42
"Compare_File_98",1,42,42.00,42.00,42,42
"Compare_File_519",1,42,42.00,42.00,42,42
"Compare_File_331",1,41,41.00,41.00,41,41
"Compare_File_308",1,40,40.00,40.00,40,40
"Compare_File_848",1,40,40.00,40.00,40,40
"Compare_File_206",1,40,40.00,40.00,40,40
"Compare_File_738",1,40,40.00,40.00,40,40
"Compare_File_695",1,39,39.00,39.00,39,39
"Compare_File_182",1,39,39.00,39.00,39,39
"Compare_File_707",1,38,38.00,38.00,38,38
"Compare_File_94",1,38,38.00,38.00,38,38
"Compare_File_219",1,38,38.00,38.00,38,38
"Compare_File_396",1,37,37.00,37.00,37,37
"Compare_File_358",1,37,37.00,37.00,37,37
"Compare_File_129",1,36,36.00,36.00,36,36
"Compare_File_300",1,36,36.00,36.00,36,36
"Compare_File_37",1,36,36.00,36.00,36,36
"Compare_File_959",1,36,36.00,36.00,36,36
"Compare_File_141",1,36,36.00,36.00,36,36
"Compare_File_83",1,36,36.00,36.00,36,36
"Compare_File_584",1,35,35.00,35.00,35,35
"Compare_File_971",1,35,35.00,35.00,35,35
"Compare_File_454",1,35,35.00,35.00,35,35
"Compare_File_475",1,35,35.00,35.00,35,35
"Compare_File_937",1,35,35.00,35.00,35,35
"Compare_File_171",1,35,35.00,35.00,35,35
"Compare_File_947",1,35,35.00,35.00,35,35
"Compare_File_748",1,35,35.00,35.00,35,35
"Compare_File_752",1,34,34.00,34.00,34,34
"Compare_File_537",1,34,34.00,34.00,34,34
"Compare_File_984",1,34,34.00,34.00,34,34
"Compare_File_371",1,33,33.00,33.00,33,33
"Compare_File_367",1,33,33.00,33.00,33,33
"Compare_File_887",1,33,33.00,33.00,33,33
"Compare_File_655",1,33,33.00,33.00,33,33
"Compare_File_660",1,33,33.00,33.00,33,33
"Compare_File_861",1,32,32.00,32.00,32,32
"Semantic_Analysis",1,32,32.00,32.00,32,32
"Compare_File_607",1,32,32.00,32.00,32,32
"Compare_File_912",1,32,32.00,32.00,32,32
"Compare_File_196",1,30,30.00,30.00,30,30
"Compare_File_301",1,30,30.00,30.00,30,30
"Compare_File_120",1,30,30.00,30.00,30,30
"Compare_File_352",1,29,29.00,29.00,29,29
"Compare_File_515",1,29,29.00,29.00,29,29
"Compare_File_302",1,29,29.00,29.00,29,29
"Compare_File_466",1,28,28.00,28.00,28,28
"Compare_File_671",1,28,28.00,28.00,28,28
"Compare_File_103",1,28,28.00,28.00,28,28
"Compare_File_815",1,28,28.00,28.00,28,28
"Compare_File_549",1,28,28.00,28.00,28,28
"Compare_File_135",1,28,28.00,28.00,28,28
"Compare_File_428",1,28,28.00,28.00,28,28
"Compare_File_492",1,27,27.00,27.00,27,27
"Compare_File_965",1,27,27.00,27.00,27,27
"Compare_File_252",1,27,27.00,27.00,27,27
"Compare_File_819",1,27,27.00,27.00,27,27
"Compare_File_81",1,27,27.00,27.00,27,27
"Compare_File_303",1,27,27.00,27.00,27,27
"Compare_File_195",1,27,27.00,27.00,27,27
"Compare_File_528",1,27,27.00,27.00,27,27
"Compare_File_857",1,27,27.00,27.00,27,27
"Compare_File_176",1,27,27.00,27.00,27,27
"Compare_File_402",1,26,26.00,26.00,26,26
"Compare_File_696",1,26,26.00,26.00,26,26
"Compare_File_928",1,26,26.00,26.00,26,26
"Compare_File_601",1,25,25.00,25.00,25,25
"Compare_File_602",1,25,25.00,25.00,25,25
"Compare_File_309",1,25,25.00,25.00,25,25
"Compare_File_992",1,25,25.00,25.00,25,25
"Compare_File_479",1,25,25.00,25.00,25,25
"Compare_File_111",1,25,25.00,25.00,25,25
"Compare_File_600",1,25,25.00,25.00,25,25
"Compare_File_433",1,24,24.00,24.00,24,24
"Compare_File_651",1,24,24.00,24.00,24,24
"Compare_File_915",1,24,24.00,24.00,24,24
"Compare_File_946",1,24,24.00,24.00,24,24
"Compare_File_891",1,23,23.00,23.00,23,23
"Compare_File_979",1,23,23.00,23.00,23,23
"Compare_File_606",1,23,23.00,23.00,23,23
"Compare_File_545",1,23,23.00,23.00,23,23
"Compare_File_647",1,23,23.00,23.00,23,23
"Compare_File_51",1,23,23.00,23.00,23,23
"Compare_File_90",1,23,23.00,23.00,23,23
"Compare_File_559",1,23,23.00,23.00,23,23
"Compare_File_934",1,22,22.00,22.00,22,22
"Compare_File_36",1,22,22.00,22.00,22,22
"Compare_File_908",1,22,22.00,22.00,22,22
"Compare_File_205",1,22,22.00,22.00,22,22
"Compare_File_328",1,22,22.00,22.00,22,22
"Compare_File_32",1,22,22.00,22.00,22,22
"Compare_File_228",1,22,22.00,22.00,22,22
"Compare_File_724",1,22,22.00,22.00,22,22
"Compare_File_673",1,22,22.00,22.00,22,22
"Compare_File_720",1,22,22.00,22.00,22,22
"Compare_File_145",1,22,22.00,22.00,22,22
"Compare_File_323",1,22,22.00,22.00,22,22
"Compare_File_451",1,22,22.00,22.00,22,22
"Compare_File_940",1,22,22.00,22.00,22,22
"Compare_File_558",1,21,21.00,21.00,21,21
"Compare_File_211",1,21,21.00,21.00,21,21
"Compare_File_609",1,21,21.00,21.00,21,21
"Compare_File_785",1,21,21.00,21.00,21,21
"Compare_File_613",1,21,21.00,21.00,21,21
"Compare_File_482",1,21,21.00,21.00,21,21
"Compare_File_547",1,20,20.00,20.00,20,20
"Compare_File_43",1,20,20.00,20.00,20,20
"Compare_File_305",1,20,20.00,20.00,20,20
"Compare_File_619",1,20,20.00,20.00,20,20
"Compare_File_379",1,20,20.00,20.00,20,20
"Compare_File_351",1,20,20.00,20.00,20,20
"Compare_File_38",1,20,20.00,20.00,20,20
"Compare_File_841",1,20,20.00,20.00,20,20
"Compare_File_226",1,20,20.00,20.00,20,20
"Compare_File_267",1,20,20.00,20.00,20,20
"Compare_File_556",1,20,20.00,20.00,20,20
"Compare_File_237",1,20,20.00,20.00,20,20
"Compare_File_943",1,20,20.00,20.00,20,20
"Compare_File_944",1,20,20.00,20.00,20,20
"Compare_File_631",1,20,20.00,20.00,20,20
"Compare_File_152",1,19,19.00,19.00,19,19
"Compare_File_883",1,19,19.00,19.00,19,19
"Compare_File_235",1,19,19.00,19.00,19,19
"Compare_File_474",1,19,19.00,19.00,19,19
"Compare_File_667",1,19,19.00,19.00,19,19
"Compare_File_458",1,19,19.00,19.00,19,19
"Compare_File_164",1,19,19.00,19.00,19,19
"Compare_File_158",1,19,19.00,19.00,19,19
"Compare_File_57",1,19,19.00,19.00,19,19
"Compare_File_104",1,19,19.00,19.00,19,19
"Compare_File_209",1,19,19.00,19.00,19,19
"Compare_File_704",1,19,19.00,19.00,19,19
"Compare_File_327",1,19,19.00,19.00,19,19
"Compare_File_877",1,19,19.00,19.00,19,19
"Compare_File_304",1,19,19.00,19.00,19,19
"Compare_File_395",1,19,19.00,19.00,19,19
"Compare_File_439",1,18,18.00,18.00,18,18
"Compare_File_122",1,18,18.00,18.00,18,18
"Compare_File_583",1,18,18.00,18.00,18,18
"Compare_File_102",1,18,18.00,18.00,18,18
"Compare_File_621",1,18,18.00,18.00,18,18
"Compare_File_910",1,18,18.00,18.00,18,18
"Compare_File_737",1,18,18.00,18.00,18,18
"Compare_File_626",1,18,18.00,18.00,18,18
"Compare_File_703",1,18,18.00,18.00,18,18
"Compare_File_530",1,18,18.00,18.00,18,18
"Compare_File_322",1,18,18.00,18.00,18,18
"Compare_File_125",1,18,18.00,18.00,18,18
"Compare_File_784",1,18,18.00,18.00,18,18
"Compare_File_465",1,18,18.00,18.00,18,18
"Compare_File_168",1,18,18.00,18.00,18,18
"Compare_File_471",1,18,18.00,18.00,18,18
"Compare_File_207",1,18,18.00,18.00,18,18
"Compare_File_446",1,18,18.00,18.00,18,18
"Compare_File_44",1,18,18.00,18.00,18,18
"Compare_File_772",1,17,17.00,17.00,17,17
"Compare_File_955",1,17,17.00,17.00,17,17
"Compare_File_361",1,17,17.00,17.00,17,17
"Compare_File_39",1,17,17.00,17.00,17,17
"Compare_File_109",1,17,17.00,17.00,17,17
"Compare_File_378",1,17,17.00,17.00,17,17
"Compare_File_523",1,17,17.00,17.00,17,17
"Compare_File_550",1,17,17.00,17.00,17,17
"Compare_File_316",1,17,17.00,17.00,17,17
"Compare_File_319",1,17,17.00,17.00,17,17
"Compare_File_800",1,17,17.00,17.00,17,17
"Compare_File_241",1,17,17.00,17.00,17,17
"Compare_File_170",1,17,17.00,17.00,17,17
"Compare_File_420",1,17,17.00,17.00,17,17
"Compare_File_272",1,17,17.00,17.00,17,17
"Compare_File_251",1,17,17.00,17.00,17,17
"Compare_File_871",1,17,17.00,17.00,17,17
"Compare_File_952",1,17,17.00,17.00,17,17
"Compare_File_54",1,17,17.00,17.00,17,17
"Compare_File_670",1,17,17.00,17.00,17,17
"Compare_File_138",1,17,17.00,17.00,17,17
"Compare_File_529",1,17,17.00,17.00,17,17
"Compare_File_869",1,17,17.00,17.00,17,17
"Compare_File_421",1,17,17.00,17.00,17,17
"Compare_File_119",1,17,17.00,17.00,17,17
"Compare_File_803",1,17,17.00,17.00,17,17
"Compare_File_335",1,16,16.00,16.00,16,16
"Compare_File_840",1,16,16.00,16.00,16,16
"Compare_File_540",1,16,16.00,16.00,16,16
"Compare_File_341",1,16,16.00,16.00,16,16
"Compare_File_348",1,16,16.00,16.00,16,16
"Compare_File_107",1,16,16.00,16.00,16,16
"Compare_File_580",1,16,16.00,16.00,16,16
"Compare_File_524",1,16,16.00,16.00,16,16
"Compare_File_686",1,16,16.00,16.00,16,16
"Compare_File_588",1,16,16.00,16.00,16,16
"Compare_File_590",1,16,16.00,16.00,16,16
"Compare_File_534",1,16,16.00,16.00,16,16
"Compare_File_386",1,16,16.00,16.00,16,16
"Compare_File_113",1,16,16.00,16.00,16,16
"Compare_File_484",1,16,16.00,16.00,16,16
"Compare_File_357",1,16,16.00,16.00,16,16
"Compare_File_450",1,16,16.00,16.00,16,16
"Compare_File_508",1,16,16.00,16.00,16,16
"Compare_File_926",1,16,16.00,16.00,16,16
"Compare_File_337",1,16,16.00,16.00,16,16
"Compare_File_188",1,16,16.00,16.00,16,16
"Compare_File_468",1,16,16.00,16.00,16,16
"Compare_File_936",1,16,16.00,16.00,16,16
"Compare_File_499",1,16,16.00,16.00,16,16
"Compare_File_161",1,16,16.00,16.00,16,16
"Compare_File_589",1,16,16.00,16.00,16,16
"Compare_File_55",1,16,16.00,16.00,16,16
"Compare_File_441",1,16,16.00,16.00,16,16
"Compare_File_411",1,16,16.00,16.00,16,16
"Compare_File_798",1,16,16.00,16.00,16,16
"Compare_File_118",1,16,16.00,16.00,16,16
"Compare_File_179",1,16,16.00,16.00,16,16
"Compare_File_775",1,16,16.00,16.00,16,16
"Compare_File_76",1,16,16.00,16.00,16,16
"Compare_File_745",1,16,16.00,16.00,16,16
"Compare_File_630",1,16,16.00,16.00,16,16
