Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareFilesWithCaching",4000,196969,49.24,37.00,13,969
"Compare_Objects",4000,100144,25.04,20.00,0,290
"Deserialize_Old_ComplexOrderResponse_Xml",4000,33851,8.46,1.00,0,852
"Deserialize_New_ComplexOrderResponse_Xml",4000,25200,6.30,5.00,1,721
"Generate_File_Hash",8000,19552,2.44,1.00,0,49
"Parallel_Comparison",1,9849,9849.00,9849.00,9849,9849
"Generate_Config_Fingerprint",4003,1029,0.26,0.00,0,20
"Compare_File_794",1,970,970.00,970.00,970,970
"Compare_File_817",1,874,874.00,874.00,874,874
"Compare_File_1204",1,795,795.00,795.00,795,795
"Compare_File_1270",1,774,774.00,774.00,774,774
"Compare_File_1288",1,702,702.00,702.00,702,702
"Compare_File_749",1,648,648.00,648.00,648,648
"Compare_File_743",1,648,648.00,648.00,648,648
"Compare_File_736",1,606,606.00,606.00,606,606
"Compare_File_741",1,597,597.00,597.00,597,597
"Compare_File_1203",1,563,563.00,563.00,563,563
"Compare_File_1044",1,514,514.00,514.00,514,514
"Compare_File_1041",1,502,502.00,502.00,502,502
"Compare_File_809",1,494,494.00,494.00,494,494
"Compare_File_738",1,481,481.00,481.00,481,481
"Compare_File_732",1,459,459.00,459.00,459,459
"Compare_File_754",1,455,455.00,455.00,455,455
"Compare_File_742",1,423,423.00,423.00,423,423
"Compare_File_763",1,420,420.00,420.00,420,420
"Compare_File_3",1,404,404.00,404.00,404,404
"Compare_File_5",1,403,403.00,403.00,403,403
"Compare_File_2",1,403,403.00,403.00,403,403
"Compare_File_6",1,403,403.00,403.00,403,403
"Compare_File_14",1,402,402.00,402.00,402,402
"Compare_File_15",1,401,401.00,401.00,401,401
"Compare_File_8",1,399,399.00,399.00,399,399
"Compare_File_9",1,399,399.00,399.00,399,399
"Compare_File_7",1,399,399.00,399.00,399,399
"Compare_File_12",1,398,398.00,398.00,398,398
"Compare_File_1",1,398,398.00,398.00,398,398
"Compare_File_10",1,397,397.00,397.00,397,397
"Compare_File_11",1,397,397.00,397.00,397,397
