Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareFilesWithCaching",4000,701872,175.47,60.00,10,8970
"Compare_Objects",4000,270566,67.64,30.00,1,1382
"Deserialize_Old_ComplexOrderResponse_Xml",4000,184077,46.02,4.00,1,7846
"Deserialize_New_ComplexOrderResponse_Xml",4000,119518,29.88,3.00,1,8840
"Parallel_Comparison",1,33221,33221.00,33221.00,33221,33221
"Generate_File_Hash",8000,17370,2.17,0.00,0,363
"Compare_File_2592",1,8987,8987.00,8987.00,8987,8987
"Compare_File_2664",1,8474,8474.00,8474.00,8474,8474
"Compare_File_2784",1,7862,7862.00,7862.00,7862,7862
"Compare_File_79",1,7095,7095.00,7095.00,7095,7095
"Compare_File_4",1,6802,6802.00,6802.00,6802,6802
"Compare_File_0",1,6762,6762.00,6762.00,6762,6762
"Compare_File_14",1,6628,6628.00,6628.00,6628,6628
"Compare_File_2573",1,6579,6579.00,6579.00,6579,6579
"Compare_File_972",1,6346,6346.00,6346.00,6346,6346
"Compare_File_3",1,6295,6295.00,6295.00,6295,6295
"Compare_File_16",1,6242,6242.00,6242.00,6242,6242
"Compare_File_1606",1,6080,6080.00,6080.00,6080,6080
"Compare_File_1582",1,6061,6061.00,6061.00,6061,6061
"Compare_File_1987",1,6009,6009.00,6009.00,6009,6009
"Compare_File_893",1,5994,5994.00,5994.00,5994,5994
"Compare_File_841",1,5937,5937.00,5937.00,5937,5937
"Compare_File_1599",1,5914,5914.00,5914.00,5914,5914
"Compare_File_1733",1,5889,5889.00,5889.00,5889,5889
"Compare_File_243",1,5401,5401.00,5401.00,5401,5401
"Compare_File_7",1,5053,5053.00,5053.00,5053,5053
"Compare_File_6",1,4982,4982.00,4982.00,4982,4982
"Compare_File_9",1,4976,4976.00,4976.00,4976,4976
"Compare_File_5",1,4941,4941.00,4941.00,4941,4941
"Compare_File_395",1,4935,4935.00,4935.00,4935,4935
"Compare_File_11",1,4925,4925.00,4925.00,4925,4925
"Compare_File_2",1,4825,4825.00,4825.00,4825,4825
"Compare_File_13",1,4768,4768.00,4768.00,4768,4768
"Compare_File_1",1,4762,4762.00,4762.00,4762,4762
"Compare_File_10",1,4723,4723.00,4723.00,4723,4723
"Compare_File_12",1,4703,4703.00,4703.00,4703,4703
"Compare_File_8",1,4568,4568.00,4568.00,4568,4568
"Compare_File_15",1,4560,4560.00,4560.00,4560,4560
"Compare_File_533",1,4252,4252.00,4252.00,4252,4252
"Compare_File_532",1,4229,4229.00,4229.00,4229,4229
"Compare_File_17",1,4140,4140.00,4140.00,4140,4140
"Compare_File_18",1,3975,3975.00,3975.00,3975,3975
"Compare_File_19",1,3783,3783.00,3783.00,3783,3783
"Compare_File_20",1,3508,3508.00,3508.00,3508,3508
"Compare_File_23",1,3488,3488.00,3488.00,3488,3488
"Compare_File_215",1,3408,3408.00,3408.00,3408,3408
"Compare_File_192",1,3226,3226.00,3226.00,3226,3226
"Compare_File_21",1,3156,3156.00,3156.00,3156,3156
"Compare_File_24",1,3153,3153.00,3153.00,3153,3153
"Compare_File_81",1,2930,2930.00,2930.00,2930,2930
"Compare_File_22",1,2893,2893.00,2893.00,2893,2893
"Compare_File_118",1,2467,2467.00,2467.00,2467,2467
"Compare_File_27",1,2360,2360.00,2360.00,2360,2360
"Compare_File_137",1,2335,2335.00,2335.00,2335,2335
"Compare_File_564",1,2213,2213.00,2213.00,2213,2213
"Compare_File_572",1,2003,2003.00,2003.00,2003,2003
"Compare_File_578",1,1974,1974.00,1974.00,1974,1974
"Generate_Config_Fingerprint",4002,1922,0.48,0.00,0,182
"Compare_File_581",1,1885,1885.00,1885.00,1885,1885
"Compare_File_92",1,1853,1853.00,1853.00,1853,1853
"Compare_File_580",1,1797,1797.00,1797.00,1797,1797
"Compare_File_3306",1,1623,1623.00,1623.00,1623,1623
"Compare_File_3250",1,1603,1603.00,1603.00,1603,1603
"Compare_File_618",1,1503,1503.00,1503.00,1503,1503
"Compare_File_3265",1,1416,1416.00,1416.00,1416,1416
"Compare_File_1396",1,1182,1182.00,1182.00,1182,1182
"Compare_File_396",1,1130,1130.00,1130.00,1130,1130
"Compare_File_387",1,1105,1105.00,1105.00,1105,1105
"Compare_File_388",1,1099,1099.00,1099.00,1099,1099
"Compare_File_2206",1,1027,1027.00,1027.00,1027,1027
"Compare_File_391",1,998,998.00,998.00,998,998
"Compare_File_3322",1,972,972.00,972.00,972,972
"Compare_File_1829",1,971,971.00,971.00,971,971
"Compare_File_3272",1,965,965.00,965.00,965,965
"Compare_File_3681",1,961,961.00,961.00,961,961
"Compare_File_565",1,958,958.00,958.00,958,958
"Compare_File_3793",1,954,954.00,954.00,954,954
"Compare_File_397",1,942,942.00,942.00,942,942
"Compare_File_3656",1,936,936.00,936.00,936,936
"Compare_File_399",1,929,929.00,929.00,929,929
"Compare_File_3286",1,921,921.00,921.00,921,921
"Compare_File_3731",1,920,920.00,920.00,920,920
"Compare_File_3693",1,894,894.00,894.00,894,894
"Compare_File_2746",1,894,894.00,894.00,894,894
"Compare_File_3695",1,889,889.00,889.00,889,889
"Compare_File_402",1,881,881.00,881.00,881,881
"Compare_File_1839",1,880,880.00,880.00,880,880
"Compare_File_3782",1,876,876.00,876.00,876,876
"Compare_File_666",1,876,876.00,876.00,876,876
"Compare_File_3302",1,863,863.00,863.00,863,863
"Compare_File_1458",1,845,845.00,845.00,845,845
"Compare_File_3317",1,826,826.00,826.00,826,826
"Compare_File_2246",1,814,814.00,814.00,814,814
"Compare_File_677",1,812,812.00,812.00,812,812
"Compare_File_568",1,803,803.00,803.00,803,803
"Compare_File_378",1,797,797.00,797.00,797,797
"Compare_File_2263",1,797,797.00,797.00,797,797
"Compare_File_3864",1,796,796.00,796.00,796,796
"Compare_File_3635",1,796,796.00,796.00,796,796
"Compare_File_675",1,788,788.00,788.00,788,788
